State Postal Code,County Name,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
OH,Clinton County,5439421,1240271,1312697,546739,652822,1027287,523486,102230,23461,9125,1303
WI,Green Lake County,2335789,465438,523270,166602,319689,500592,257714,69606,29003,3329,546
TX,Jefferson County,28304975,8501635,7050355,3702385,4100732,3334069,886930,495521,202690,23860,6798
OH,Muskingum County,8993638,2065170,2371783,1177265,1381971,1228020,425938,250047,75424,13309,4711
VA,Patrick County,1937267,406228,322165,185346,305018,414695,184076,75201,40126,3380,1032
CO,El Paso County,92278156,24474797,20198844,11849443,17326365,13710200,2458579,1615510,380791,97787,165840
MI,Benzie County,2449317,461792,525239,306341,492737,470027,152587,23218,12858,3874,644
MN,Todd County,3415643,826873,764067,326181,460777,562638,295614,115315,55835,5638,2705
NC,Rockingham County,8940298,2087351,2199435,910886,1190069,1742830,550583,130701,117185,9382,1876
WA,Franklin County,8918835,2146106,1979723,1313335,1929902,847433,392018,160914,121851,20687,6866
FL,,2707855933,779697708,647462465,348784432,432460889,351899118,99575502,30104790,12717978,2616915,2536136
NE,Dawson County,2677049,733249,700105,259582,249419,462292,168898,71713,23035,7768,988
VT,Bennington County,4014830,799560,1228072,489879,658607,567877,198291,37285,31754,2800,705
IL,Lake County,80498028,24224981,17826541,8913998,12108016,12111062,4037480,867784,258132,88463,61571
AL,Lamar County,1413088,238082,318826,207644,243339,231921,103906,52693,15947,614,116
CA,Alpine County,15932,4644,2114,1193,2551,2240,1550,1522,118,0,0
GA,Wilkes County,950830,174616,131072,113175,183145,227772,85620,23996,7383,3871,180
NE,Scotts Bluff County,4860753,1287712,1583282,745601,436758,546859,126025,82684,46718,1809,3305
NM,Valencia County,8520237,1778500,1858288,891425,1264027,1491854,943427,148842,110475,26299,7100
VA,Fairfax County,104074866,30554909,25634694,13032967,15636224,14855863,2903380,765791,452314,129036,109688
OH,Guernsey County,4725327,1339620,1136937,585994,656774,580261,223146,138948,57930,4415,1302
WI,Waushara County,2998425,647798,503235,360048,476737,597574,293503,83400,31365,3845,920
IN,Wabash County,3337816,859767,776136,348733,375644,654615,204243,82856,30967,4045,810
ND,Barnes County,1297964,430107,293198,63065,87371,262096,99555,41529,17407,3353,283
OH,Tuscarawas County,9976092,2692899,2177498,1013947,1347726,1872750,557524,228502,77819,5365,2062
IL,Warren County,1731896,348331,464368,122624,165000,441386,115124,47733,25094,1869,367
OH,Hocking County,3004901,681197,628672,390843,417886,519009,233540,104731,26063,2448,512
TX,Comal County,16607870,4019546,3549868,2100918,2695701,2813033,999022,265394,118928,24212,21248
SD,Bennett County,503757,128289,139437,17724,15821,115758,55096,22324,8719,516,73
CO,Cheyenne County,335996,80231,18072,6982,19948,152472,35208,9869,11152,2003,59
MS,Adams County,2662900,765020,704174,374918,357074,239831,106669,61758,41176,10388,1892
CO,Crowley County,903608,248789,227264,81858,83598,137854,67025,40758,11047,4822,593
KY,Henry County,2061138,405457,506355,208557,237868,494755,152569,21339,28079,4853,1306
FL,Flagler County,12743004,3612163,3172536,1561223,1891508,1500265,717972,198330,61147,15298,12562
AL,Bullock County,1088893,249970,161807,105612,215043,160319,126360,38603,26440,3996,743
AK,North Slope Borough,848047,187283,118810,125166,146785,59990,68662,95704,15315,16462,13870
IL,St. Clair County,32134638,8621827,7065764,3707059,5594558,5084345,1594118,256612,148448,40724,21183
MO,Perry County,2004054,498994,495729,242155,225087,271898,174708,69187,20478,5235,583
AR,Grant County,1646086,313962,345437,140746,235215,324582,198254,67284,16387,1401,2818
WI,La Crosse County,13596865,3776710,2956915,1693898,2362343,1767075,567393,274402,171114,23050,3965
MS,Panola County,2967912,597757,622232,316157,580511,509799,195861,107060,30289,6604,1642
NY,Lewis County,3979946,655589,591343,584062,851625,877307,280355,114537,22699,1483,946
TX,Titus County,3850850,1012960,1050561,348266,550247,548778,158044,117187,58849,4518,1440
SC,Colleton County,4743476,1191210,1023777,551058,727691,688825,415733,101959,35425,7001,797
MT,Mineral County,358291,47247,36374,30096,70616,70573,66327,25950,8168,1223,1717
KY,Harlan County,2374178,393016,660745,403604,471699,220672,127773,64917,25299,6298,155
WA,Jefferson County,3439689,884548,895555,375768,499100,581406,157086,32104,6259,1644,6219
AK,Nome Census Area,668757,443330,90615,17738,16575,58701,10588,16201,7836,0,7173
NC,Durham County,32111935,9316973,7319014,4151203,5834931,3936703,984541,311433,204357,35534,17246
MI,Barry County,7619591,1793491,1747414,810863,952355,1545708,556926,125760,74584,9149,3341
IN,Spencer County,2415264,393193,668325,305356,348385,444979,168423,54519,25891,5488,705
NJ,Essex County,84206316,25192848,21637846,11018747,11451770,11427878,2206653,821776,279138,95564,74096
TX,,3336250345,897846104,771851943,402460686,513172001,494719201,166420334,55012007,26005077,5673187,3089805
TX,Panola County,2390096,562029,507086,214576,389026,358157,217325,84901,45540,10791,665
TN,Dickson County,6715345,1442369,1350091,987997,1119097,1085007,521923,132162,52674,18672,5353
NC,Catawba County,16286985,3729242,3870198,2173344,3028271,2513605,594482,233130,108402,29226,7085
TX,Duval County,1205410,370206,255909,51425,107892,207925,127905,71338,11257,1553,0
AL,Calhoun County,11044308,2388553,2821416,1413178,1724541,1797176,507084,278985,102238,9460,1677
PA,Lackawanna County,22108637,6208008,5377967,2761524,3572119,2885324,687440,291080,296524,24529,4122
NC,Duplin County,7324988,1355735,1527497,971074,1106584,1295836,669309,317837,65617,13395,2104
MS,Pearl River County,5423751,1108927,1268073,668497,838434,833245,455852,215640,27882,5424,1777
WI,Adams County,2627473,446794,560654,256385,469136,537503,226997,85431,36781,6554,1238
VA,Henrico County,35277101,10258093,7720278,4276662,5829620,5291805,968899,540064,328480,49121,14079
MD,,724288664,198762429,168825851,86355580,112897023,106785183,36016253,9763489,3661572,769990,451294
IA,Lee County,3509913,977399,1043915,293675,385966,526527,148229,73841,51506,8070,785
CA,San Joaquin County,63652741,17186726,16689246,8154046,7918122,6738131,3758124,2620093,437290,103043,47920
MO,Webster County,4805973,1113521,1057038,423395,555493,774443,476230,306103,87132,9390,3228
DC,District of Columbia,89442284,33378204,22858645,11486131,11899611,7294401,1715462,310831,187988,137526,173485
VA,Grayson County,1831238,409102,287670,313047,306766,320138,101646,44552,36619,11389,309
AL,St. Clair County,7395944,1320809,1461804,1039412,1182381,1384007,641447,253549,99216,10339,2980
WA,Island County,8161852,1732912,1939746,979444,1211848,1501054,625642,134290,22098,6168,8650
NM,Mora County,679037,157019,104027,79238,101557,142313,73855,13246,5990,1596,196
MO,Moniteau County,1673318,412483,412526,125251,189109,275876,193418,40599,21154,2558,344
KY,Hopkins County,4823864,1160271,1222657,648484,679984,633060,287310,136601,49673,4616,1208
UT,Duchesne County,1925745,389776,407537,186031,292114,349730,196885,66293,32083,3657,1639
SC,Berkeley County,23705371,6093681,4966281,2774401,4122763,4347556,1012261,195327,157386,26288,9427
TX,La Salle County,798727,222232,161978,49774,49945,180301,81810,35842,12519,2463,1863
KS,Marion County,1642489,399165,363156,111227,241069,325819,124013,59450,15262,2781,547
KY,Lawrence County,1571632,332359,316627,163055,297485,277362,154340,18735,10482,1127,60
NE,Boyd County,290729,77566,19660,17276,110355,34961,17225,7775,5556,319,36
UT,Davis County,33519383,8614020,7952709,3851929,4754169,4944785,2434948,579789,234360,75062,77612
WI,Jackson County,2402327,492874,559258,210895,320669,445336,248995,73550,38948,11342,460
NV,,326796346,93360797,72615719,40412789,58448289,47808545,7870058,3077973,2205892,629174,367110
TX,Rains County,1484844,311911,251480,187395,273189,229083,133797,76578,17112,2980,1319
ND,McLean County,965923,179120,241150,69035,137327,166946,91475,69587,9186,1490,607
MS,Wayne County,2012020,473416,425390,216179,347669,286330,156698,71810,24877,6022,3629
OR,Benton County,8830922,2488505,2102519,1092910,1049800,1469278,404812,174234,32173,9132,7559
KS,Crawford County,4185024,997625,1238288,571344,470021,551416,222609,71354,53425,6997,1945
MO,Crawford County,2483988,509457,560587,285713,446393,329213,163158,152655,28945,6521,1346
TX,Cooke County,4456408,1195814,1080244,388433,484477,762345,365815,144755,26851,5552,2122
SC,Calhoun County,1881591,434789,313994,281337,233685,402556,144888,37892,29930,2012,508
PA,Beaver County,19585693,5205410,4581996,2532301,3271526,2855302,854784,159865,91246,22961,10302
KY,Green County,1284117,332852,208339,181583,182459,191405,120189,47093,19189,949,59
CO,Rio Grande County,1232417,224678,321215,73512,164184,315583,84051,23595,22881,1978,740
KS,Graham County,233866,40723,78167,6102,11754,44567,23926,21082,7032,454,59
AR,Hot Spring County,3715454,910725,862615,408752,601728,616811,176333,88525,37618,10975,1372
MT,Stillwater County,994089,178670,144803,74190,262280,137407,129895,49199,12129,3262,2254
PA,Allegheny County,128742703,39668233,32992961,16990663,20387450,14653439,2583440,758588,474150,155239,78540
IL,Sangamon County,22338676,6378585,5200621,3222872,3965478,2359038,591734,411950,182838,16292,9268
MS,Choctaw County,853592,199406,165499,86404,156049,145911,72220,20803,6307,993,0
TX,Van Zandt County,5947922,1181138,1413066,727057,809848,965130,465676,292403,77417,12198,3989
TX,Bailey County,805188,276412,210432,84028,56864,79761,71627,17294,6473,1773,524
GA,Butts County,2870957,711001,529366,311711,421244,473122,283838,110076,21904,6200,2495
AR,Little River County,1293720,251697,319006,204106,170466,219042,77872,22870,25232,2886,543
NM,Lea County,9388622,2620900,2629836,1019089,870706,900138,591194,510368,204390,31960,10041
TX,DeWitt County,2068547,440993,379232,218185,381727,354186,216582,55383,20192,1536,531
MD,Prince George's County,95120830,25017699,20457261,11371345,16809362,16437537,3839770,618097,391891,117349,60519
GA,Marion County,1019859,230249,147222,108610,162388,186519,145662,24767,13927,478,37
MD,Baltimore County,87264319,25159752,20311910,10254273,13934061,12105538,3679893,1220514,452575,105380,40423
AR,Washington County,21461290,4978197,5003254,2849846,3947828,3415984,805054,263036,153048,35176,9867
WI,Barron County,6057965,1355888,1503577,618463,920622,1095013,342749,159453,48360,12331,1509
TX,Concho County,328795,135456,59833,14415,23788,36719,39858,13719,4606,111,290
OK,Garvin County,2949748,648658,665746,278639,494275,499760,208630,108409,36456,6590,2585
TN,Crockett County,1613588,354116,315353,152699,288797,342467,110129,29867,13062,6856,242
GA,Pike County,2249892,389875,545815,281238,308495,451590,175666,71315,20902,2647,2349
OK,Canadian County,15111414,3832611,3704235,1616186,2342045,2628547,601015,220142,126267,28023,12343
SD,Hutchinson County,864752,280576,147540,45299,98114,168283,69843,42021,11393,1034,649
WV,Randolph County,2138588,418143,445199,318399,314416,307569,216777,78705,32235,5069,2076
OK,Harper County,386931,60893,29787,9905,76528,118168,59973,20223,9923,1182,349
NC,Cumberland County,36775447,10387979,8072017,4844581,6924015,4344169,1202310,607422,339351,45979,7624
AR,Scott County,1029835,241797,247398,138846,104870,165887,80000,34931,14690,1135,281
KS,Cherokee County,2201603,582584,456980,223341,318276,423886,116278,33000,37191,8664,1403
MO,Knox County,462030,70687,67011,25343,78326,129535,50759,21601,17526,1079,163
MI,Ionia County,7470898,1677320,1586148,824660,1054706,1406818,677203,163274,71052,7522,2195
SC,Darlington County,7438031,1956389,1849420,907165,1124938,1025750,314557,182488,66089,10271,964
MO,Phelps County,4301610,1179881,1094285,350901,611196,622164,212552,150341,72394,5569,2327
TX,Val Verde County,6022239,1958028,1829580,751364,889315,257435,157118,96235,72946,8693,1525
MO,Dade County,790560,174454,144266,79508,114064,136572,106101,18200,13260,3432,703
IL,Fulton County,3876692,886121,835764,425438,465424,651034,471624,100288,34539,4248,2212
MI,Huron County,3294453,970650,598191,333762,431116,648317,171424,83867,47903,7328,1895
PA,Mifflin County,5288425,1239642,1133294,872631,727469,751863,305075,149526,105263,2864,798
VA,Nottoway County,1970093,434279,403634,247216,233302,334577,174367,119991,21240,1366,121
NY,Kings County,276589082,89689423,75562415,35157218,40540960,28954087,3200770,1542747,1391867,354069,195526
OH,Clermont County,22370761,6035025,4554817,2538929,3781425,4119363,1019825,178893,102182,30681,9621
GA,Ware County,4427784,1144453,1232717,580874,619726,499702,200665,99713,38954,9622,1358
KY,Boyle County,3405335,923014,861416,461541,424562,440321,180749,73488,38233,1147,864
MS,Hancock County,4934092,1244555,1133444,594972,769544,758736,264532,134398,26204,5392,2315
TX,Sutton County,474441,84591,77811,103525,75796,68162,24029,28175,11218,725,409
MO,Harrison County,745763,202737,175913,43415,169098,93688,32029,15514,12342,950,77
NC,Mitchell County,1639912,308733,411930,266866,248549,303095,77183,13845,8417,1060,234
MN,Aitkin County,1882275,356075,395828,243747,248894,328295,189588,60269,56747,1886,946
CA,San Diego County,278472070,76732837,67928256,32449985,43257088,41783305,10389088,3318367,1879962,381359,351823
SC,Florence County,13777278,3301868,3384627,1987769,2297031,1711743,637552,280483,153463,20225,2517
TX,Johnson County,17727757,3807918,4344155,1935871,2680795,3091965,1345019,357652,126486,26184,11712
MO,Dallas County,2143319,411605,602033,222642,237666,351986,216765,61325,34703,4083,511
GA,Warren County,734982,177421,148472,65839,129546,123277,59452,23325,7079,378,193
IA,Grundy County,1277180,173652,336909,113880,170109,310229,116644,36568,16733,2162,294
NC,Alamance County,16976894,4071825,4101271,2107727,2882903,2398594,1013874,228634,154536,14746,2784
WA,Pend Oreille County,1492418,311858,289047,144582,333527,239599,130904,35514,4831,2146,410
AR,Howard County,1317064,316621,298734,91326,242701,180203,111988,36989,34096,3792,614
LA,Calcasieu Parish,23518962,7134992,5403481,2836803,3610079,3123023,826628,328653,212020,33694,9589
AR,Crawford County,6328348,1565349,1388695,714456,1146730,1124964,202803,104916,63056,15881,1498
AR,Nevada County,974491,180111,235186,80823,118571,211413,55127,56753,30356,5313,838
TX,Gray County,2860329,1068193,958079,211675,156263,207223,134959,106792,13936,2705,504
NE,Nance County,525300,127451,153001,20158,46874,89986,67589,17066,2922,109,144
KS,Atchison County,1907200,527842,468548,222759,198509,243318,155624,66170,17563,5402,1465
MO,Howell County,4257220,1174408,1229168,412991,467331,511965,224330,98913,114673,21718,1723
WI,Kenosha County,19853377,5755118,4950976,2429422,2563339,2606872,1082772,338833,100006,14397,11642
MT,Toole County,387246,174387,78724,9481,24350,54879,29167,13038,2170,786,264
VA,King George County,2917783,557197,640432,342765,482754,555842,229805,89948,15835,2135,1070
MS,Lafayette County,4874215,972795,977559,650108,1083604,742461,233730,164931,37584,9291,2152
KS,Wyandotte County,17588981,5071894,3908630,2054529,3017591,2752041,449932,152425,131284,34475,16180
PA,Cambria County,13229459,3353702,3077170,1688628,2242210,1929932,591910,256170,79463,8384,1890
TN,Maury County,10230618,2287691,2338933,1365502,1558686,1736980,675746,211464,41100,9979,4537
TX,Liberty County,10685073,2535072,2314882,1177724,1569013,1672669,1006866,319935,69859,15191,3862
CA,Amador County,2822935,380885,596923,420951,434762,513467,341834,102709,22973,5983,2448
MO,Scott County,3727510,860128,835389,406599,470296,706139,290397,96941,45199,14913,1509
GA,Clay County,304921,69453,42099,26249,68323,46052,22866,14315,12290,2913,361
ND,Bowman County,348563,95353,79972,33803,18112,77277,22938,15736,5039,333,0
WI,Milwaukee County,108859832,34150232,25993603,14715256,17361383,11997052,2566353,1374993,525176,120674,55110
WI,Burnett County,1752844,420153,273870,206149,317457,300686,118392,84232,27644,3846,415
LA,West Feliciana Parish,1764698,385655,294829,180889,361240,341646,146319,35323,10989,6752,1056
MI,Houghton County,3832326,1086913,1016591,510801,435666,539560,135413,65900,28457,11742,1283
WV,Ohio County,4688995,1535284,1051551,555869,749368,539971,148669,89878,14850,2847,708
NM,San Juan County,13159016,2810529,3189894,1487799,1932214,2439360,755698,302153,198314,36377,6678
TN,Monroe County,4783150,1174291,1017318,539455,571366,940131,406631,78889,37807,10962,6300
VA,Poquoson city,1357335,388177,335283,167197,290601,130163,35559,7391,2245,393,326
LA,Allen Parish,3139699,901496,664605,233819,483802,422737,298673,96367,33400,4258,542
OK,Logan County,5451193,1350280,1072249,599279,778218,1062500,450692,86141,36079,8211,7544
