State,Airport Name,Loc ID,Associated City,County,Enplane- ments2,HUB3,"Ozone
(8-Hour)4",CO,PM10  ,PM2.5,Note5,VALE Eligible,,,,,,,,,,,,,,
IL,Chicago/Rockford International,RFD,Rockford,Winnebago,"108,379",N,,,,,,No,,,,,,,,,,,,,,
IL,Abraham Lincoln Capital,SPI,Springfield,Sangamon,"90,413",N,,,,,,No,,,,,,,,,,,,,,
IL,University of Illinois-Willard,CMI,Savoy,Champaign,"89,836",N,,,,,,No,,,,,,,,,,,,,,
IL,Scott AFB/Midamerica,BLV,Belleville,St. Clair,"32,589",N,Marginal,,,Moderate,,Yes,,,,,,,,,,,,,,
IL,Williamson County Regional,MWA,Marion,Williamson,"10,570",N,,,,,C,No,,,,,,,,,,,,,,
IL,Quincy Regional-Baldwin Field,UIN,Quincy,Adams,"9,159",None,,,,,,No,,,,,,,,,,,,,,
IL,Decatur,DEC,Decatur,Macon,"8,034",None,,,,,,No,,,,,,,,,,,,,,
IN,Indianapolis International,IND,Indianapolis,Marion,"3,889,567",M,,Maintenance,,Maintenance,"B, C",Yes,,,,,,,,,,,,,,
IN,Fort Wayne International,FWA,Fort Wayne,Allen,"353,876",N,,,,,,No,,,,,,,,,,,,,,
IN,South Bend International,SBN,South Bend,St. Joseph,"315,313",N,,,,,,No,,,,,,,,,,,,,,
IN,Evansville Regional,EVV,Evansville,Vanderburgh,"203,350",N,,,,Maintenance,,Yes,,,,,,,,,,,,,,
